AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDSGD
AUDUSD
AU200AUD
BRIDXBRL
BCOUSD
CADCHF
CADHKD
CADJPY
CH20CHF
CHFJPY
CHFPLN
CHFSGD
XCUUSD
DE30EUR
ES35EUR
EURAUD
EURCAD
EURCHF
EURDKK
EURGBP
EURHKD
EURHUF
EURJPY
EURMXN
EURNOK
EURNZD
EURPLN
EURRUB
EURSEK
EURSGD
EURTRY
EURUSD
EURZAR
EU50EUR
FR40EUR
GBPAUD
GBPCAD
GBPCHF
GBPJPY
GBPNZD
GBPUSD
UK100GBP
HKDJPY
HK33HKD
IT40EUR
JP225JPY
WTICOUSD
MXNJPY
NATGASUSD
NL25EUR
NZDCAD
NZDCHF
NZDJPY
NZDSGD
NZDUSD
XPDUSD
XPTUSD
SGDJPY
US30USD
SPX500USD
NAS100USD
USDBRL
USDCAD
USDCHF
USDCNY
USDDKK
USDHKD
USDHUF
USDJPY
USDMXN
USDNOK
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDZAR
XAGUSD
XAUUSD
ZARJPY
